food_id,food_name,serving_size,calories,fat_type,total_fat,sat_fat,trans_fat,cholesterol,sodium,protein,total_carbon,fiber,sugar,calcium,iron,vaiu,vc,meal,location,allergen,tag,ingredient
30176.0,"Refresher Drink Raspberry, Short",1 SHORT,2.0,0,0g,0g,0g,0mg,0mg,0g,0.4g,0g,0.3g,0%,0%,0%,0%,breakfast & lunch & dinner,Deets,Gluten,None,"REFRESHER RASPERRY POMEGRANATE MIX (WATER, RASPBERRY POMEGRANATE REFRESH CONCENTRATE (water, sugar, red raspberry juice concentrate, natural flavor, pomegranate juice concentrate, erythritol, citric acid, green coffee extract, sodium benzoate and potassium sorbate (preservatives), rebaudioside A (stevia leaf extract), fruit and vegetable juice for color)), CRUSHED ICE"
30177.0,"Refresher Drink Raspberry, Tall",1 TALL,2.0,0,0g,0g,0g,0mg,0mg,0g,0.5g,0g,0.5g,0%,0%,0%,0%,breakfast & lunch & dinner,Deets,Gluten,None,"REFRESHER RASPERRY POMEGRANATE MIX (WATER, RASPBERRY POMEGRANATE REFRESH CONCENTRATE (water, sugar, red raspberry juice concentrate, natural flavor, pomegranate juice concentrate, erythritol, citric acid, green coffee extract, sodium benzoate and potassium sorbate (preservatives), rebaudioside A (stevia leaf extract), fruit and vegetable juice for color)), CRUSHED ICE"
30178.0,"Soy Chocolate Milk, Grande",1 GRANDE,390.0,67,7.4g,1.1g,0g,0mg,228.5mg,12.7g,61.9g,3.9g,50.5g,96%,13%,21%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CHOCOLATE SYRUP (high fructose corn syrup, corn syrup, water, cocoa, sugar, contains 2% or less of potassium sorbate (preservative), salt, mono- and diglycerides, xanthan gum, polysorbate 60, vanillin, artificial flavor. )"
30179.0,"Soy Chocolate Milk, Short",1 SHORT,219.0,41,4.6g,0.7g,0g,0mg,136.9mg,7.8g,33.1g,2.2g,26.9g,59%,8%,13%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CHOCOLATE SYRUP (high fructose corn syrup, corn syrup, water, cocoa, sugar, contains 2% or less of potassium sorbate (preservative), salt, mono- and diglycerides, xanthan gum, polysorbate 60, vanillin, artificial flavor. )"
30180.0,"Soy Chocolate Milk, Tall",1 TALL,306.0,54,6g,0.9g,0g,0mg,182.9mg,10.3g,47.8g,3.1g,39g,77%,10%,17%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans","soy, milk, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CHOCOLATE SYRUP (high fructose corn syrup, corn syrup, water, cocoa, sugar, contains 2% or less of potassium sorbate (preservative), salt, mono- and diglycerides, xanthan gum, polysorbate 60, vanillin, artificial flavor. )"
30181.0,"Soy Iced Caramel Macchiatto, Grande",1 GRANDE,322.0,34,3.8g,0.5g,0g,0mg,165.3mg,5.7g,64.8g,0.9g,48.8g,43%,6%,9%,0%,breakfast & lunch & dinner,Deets,"Milk, Tree Nuts, Soybeans, Gluten","soy, milk, cream, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE, VANILLA SYRUP (pure cane sugar, water, natural vanilla extract with other natural flavor, sodium benzoate and potassium sorbate (preservatives), citric acid, caramel color), CARAMEL SAUCE (corn syrup, water, sweetened condensed milk (condensed milk, sugar),  high fructose corn syrup, water, less than 2% of: sugar, modified corn starch, butter (cream, salt), disodium phosphate, salt, soy lecithin, xanthan gum, pectin, molasses, caramel color, barley malt extract, natural and artificial flavors.  contains: milk, soy)"
30182.0,"Soy Iced Caramel Macchiatto, Short",1 SHORT,263.0,27,3g,0.4g,0g,0mg,143mg,4.3g,53.5g,0.7g,37.9g,32%,4%,7%,0%,breakfast & lunch & dinner,Deets,"Milk, Tree Nuts, Soybeans, Gluten","soy, milk, cream, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE, CARAMEL SAUCE (corn syrup, water, sweetened condensed milk (condensed milk, sugar),  high fructose corn syrup, water, less than 2% of: sugar, modified corn starch, butter (cream, salt), disodium phosphate, salt, soy lecithin, xanthan gum, pectin, molasses, caramel color, barley malt extract, natural and artificial flavors.  contains: milk, soy), VANILLA SYRUP (pure cane sugar, water, natural vanilla extract with other natural flavor, sodium benzoate and potassium sorbate (preservatives), citric acid, caramel color)"
30183.0,"Soy Iced Caramel Macchiatto, Tall",1 TALL,311.0,30,3.4g,0.4g,0g,0mg,154.1mg,5g,63.8g,0.8g,48g,37%,5%,8%,0%,breakfast & lunch & dinner,Deets,"Milk, Tree Nuts, Soybeans, Gluten","soy, milk, cream, ","VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE, VANILLA SYRUP (pure cane sugar, water, natural vanilla extract with other natural flavor, sodium benzoate and potassium sorbate (preservatives), citric acid, caramel color), CARAMEL SAUCE (corn syrup, water, sweetened condensed milk (condensed milk, sugar),  high fructose corn syrup, water, less than 2% of: sugar, modified corn starch, butter (cream, salt), disodium phosphate, salt, soy lecithin, xanthan gum, pectin, molasses, caramel color, barley malt extract, natural and artificial flavors.  contains: milk, soy)"
30184.0,"Soy Iced Chai, Grande",1 GRANDE,234.0,28,3.1g,0.4g,0g,0mg,99mg,5.3g,43.5g,0.9g,39.9g,40%,5%,9%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans, Gluten","soy, milk, ","VANILLA CHAI TEA (water, organic evaporated cane juice, organic black tea, organic  vanilla, organic spices, honey, citric acid, organic ginger and natural  flavors), VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE"
30185.0,"Soy Iced Chai, Short",1 SHORT,141.0,17,1.9g,0.3g,0g,0mg,59.7mg,3.2g,26.2g,0.5g,24g,24%,3%,5%,0%,breakfast & lunch & dinner,Deets,"Tree Nuts, Soybeans, Gluten","soy, milk, ","VANILLA CHAI TEA (water, organic evaporated cane juice, organic black tea, organic  vanilla, organic spices, honey, citric acid, organic ginger and natural  flavors), VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, calcium carbonate, vitamin a palmitate, zinc gluconate, vitamin d2, riboflavin (b2), vitamin b12. contains: soy  produced in a facility that also processes almond and coconut. silk employs stringent allergen quality control procedures in all of our manufacturing facilities. ), CRUSHED ICE"
