,food_name,serving_size,calories,fat_type,total_fat,sat_fat,trans_fat,cholesterol,sodium,protein,total_carbon,fiber,sugar,calcium,iron,vaiu,vc,ingredient,meal
73,Hummus**,2 OZ,116,75,8.3g,1.2g,0g,0mg,271.8mg,3.2g,8.5g,3.5g,1.3g,5%,4%,1%,4%,"GARBANZO BEANS (cooked dried chick peas, water, salt, and disodium edta (to preserve color)), TAHINI (pure ground sesame seeds), LEMON JUICE (filtered water, lemon juice concentrate, sodium bisulfite (preservative), sodium  benzoate (preservative), lemon oil.), OLIVE OIL, FRESH GARLIC, PARSLEY, KOSHER SALT (salt, yellow prussiate of soda), PEPPER SAUCE (vinegar, aged peppers (peppers, salt, vinegar), water, xanthan gum and benzoate of soda (to preserve freshness and flavor))",lunch
74,Olive Salad**,4 OZ,219,180,20g,2.7g,0g,0mg,1091.4mg,2g,7g,2.1g,2g,4%,11%,8%,11%,"GREEN OLIVES (olives, water, minced pimiento (pimiento, sodium alginate, guar gum, calcium chloride, potassium sorbate as a preservative), salt and lactic acid.  occasional pit may remain in fruit. ), ARTICHOKE HEARTS (quartered artichoke hearts, water, salt and citric acid. ), GARBANZO BEANS (cooked dried chick peas, water, salt, and disodium edta (to preserve color)), RED PEPPERS (red bell peppers, water, sea salt and citric acid. ), Balsamic Vinaigrette** (OLIVE OIL, BALSAMIC VINEGAR (wine vinegar, concentrated grape must, caramel colour,  contains: sulphites ), FRESH GARLIC, SALT (salt, calcium silicate, dextrose, potassium iodide.), BLACK PEPPER), BLACK OLIVES (ripe olives, water, salt and ferrous gluconate added to stabilize color. ), FRESH GREEN ONIONS",lunch
75,"Pita Bread, Whole Wheat*",1 HALF,98,7,0.8g,0.3g,0g,0mg,147.5mg,3.5g,19.5g,2g,1g,3%,4%,0%,0%,"WHOLE WHEAT PITA (stone ground whole wheat flour, enriched wheat flour, [contains niacin, reduced iron, thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid], water, wheat, gluten, yeast, contains less than 2% of each of the following: sugar, salt calcium propionate (added to maintain freshness)  contains: wheat  processed on equipment that also processes soybean )",lunch
76,Steamed Baby Carrots**,3 OZ,29,1,0.2g,0g,0g,0mg,48.4mg,0.6g,6.9g,2.5g,2.9g,3%,2%,284%,5%,CARROTS,lunch
77,Sweet Potato Fries**,2 OZ,122,49,5.4g,0.3g,0g,0mg,81mg,1.4g,16.9g,2g,4.7g,1%,1%,41%,4%,"SWEET POTATO FRIES (sweet potatoes, canola oil, modified food starch (corn, potato, tapioca), sugar, rice flour, cornstarch, dextrin, spice, salt, spice and coloring, xanthan gum, leavening (disodium dihydrogen pyrophosphate,  sodium bicarbonate).)",lunch
78,Sweet Potato**,1/3 POTATO,103,22,2.4g,0.3g,0g,0mg,33.2mg,1.9g,19.1g,3g,6g,4%,4%,355%,30%,"SWEET POTATOES, OLIVE OIL",lunch
79,Tabouleh**,4 OZ,172,66,7.3g,1.1g,0g,0mg,313.4mg,3.9g,23.7g,2.1g,1.9g,2%,3%,54%,14%,"COUSCOUS (wheat flour  contains: wheat ), WATER, FRESH TOMATOES, FRESH CUCUMBER, CARROTS, LEMON JUICE (filtered water, lemon juice concentrate, sodium bisulfite (preservative), sodium  benzoate (preservative), lemon oil.), SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), FRESH GREEN ONIONS, SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), PARSLEY, SALT (salt, calcium silicate, dextrose, potassium iodide.), FRESH GARLIC, BLACK PEPPER",lunch
80,Vanilla Soy Milk**,8 OZ,95,30,3.3g,0.5g,0g,0mg,94.5mg,5.7g,9.5g,0.9g,7.6g,28%,9%,1%,0%,"VANILLA SOY MILK (soymilk (filtered water, whole soybeans), cane sugar, natural flavor, sea salt, carrageenan, Vitamins & Minerals: calcium carbonate, vitamin A palmitate, vitamin D2, riboflavin (B2), vitamin B12.)",lunch
81,"Cheese, Shredded Cheddar*",1/2 OZ,57,42,4.7g,3g,- - - g,14.9mg,88mg,3.5g,0.2g,0g,0.1g,10%,1%,3%,0%,"CHEDDAR CHEESE (cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto  [color]), potato starch and powdered cellulose added to  prevent caking, natamycin (a natural mold inhibitor) contains: milk)",lunch
82,Flour Tortilla*,1 TORTILLA,114,9,1g,0g,0g,0mg,223mg,4g,22g,3g,0g,6%,14%,0%,0%,"FLOUR TORTILLA (cream, skim milk, soybean oil, parmesan and asiago cheese blend with flavor (parmesan cheese [cultured milk, salt, enzymes], asiago cheese [cultured milk, salt, enzymes], enzyme modified parmesan cheese [cultured milk, water, salt, enzymes], whey, salt), canola oil, water, 2% or less of modified cornstarch, salt, romano cheese ([made from cow's milk], pasteurized milk, cheese culture, salt, enzymes), cream (cream, nonfat milk), lactose (contains milk), datem, spice, xanthan gum, seasoning (wheat starch, extracts of annatto and turmeric color, natural flavor), seasoning (maltodextrin, flavor, enzyme modified butterfat). contains: milk, wheat ingredients. )",lunch
83,Grilled Fresh Veggies**,4 OZ,10,1,0.1g,0g,0g,0mg,1.5mg,0.4g,2.3g,0.9g,1.2g,1%,1%,4%,68%,"FRESH RED PEPPER, FRESH GREEN PEPPER, VEGETABLE PAN SPRAY (soybean oil, soybean lecithin (hr), silicon dioxide, water and  propellant (non-chloroflurocarbon). contains: soy.)",lunch
84,Guacamole**,1/2 OZ,19,17,1.9g,0.2g,0g,0mg,40.2mg,0.2g,1.4g,0.9g,0.2g,0%,0%,0%,3%,"GUACAMOLE (hass avocado, tomato, onion, sugar, salt, jalapeno pepper, cilantro,  sodium acid pyrophosphate, garlic, sodium alginate, citric acid, xanthan  gum, ascorbic acid (vitamin c), lime juice concentrate.)",lunch
85,Pibil Cochinita (Pulled Pork),4 OZ,259,164,18.2g,6.5g,0g,77.4mg,784.7mg,21g,1.6g,0.3g,0.5g,4%,9%,0%,4%,"PORK, WATER, FRESH ONIONS, VINEGAR (apple cider vinegar (diluted with water to 5% acidity). ), KOSHER SALT (salt, yellow prussiate of soda), WORCESTERSHIRE SAUCE (water, high fructose corn syrup, vinegar, salt, worcestershire seasoning (dextrose, sugar, caramel color, salt,  garlic powder, spices, hydrolyzed corn protein, chili pepper, xanthan gum, citric acid, onion powder, and not more than 2% soybean oil and silicon dioxide added to aid processing), caramel color, citric acid, dextrose, propylene glycol, sodium benzoate (preservative), guar gum, potassium sorbate (preservative), oleoresin capsicum and sulfur dioxide. ), LIME JUICE (lime juice from concentrate (water, concentrated lime juice),and less than 2% of lime oil, sodium benzoate (preservative), sodium metabisulfite (preservative).  contains: sulfites. ), ORANGE JUICE (orange juice concentrate, filtered water, less than 1/10 of 1% of sodium  benzoate and potassium sorbate as preservatives, vitamin C), SOY/OLIVE BLEND OIL (80% soybean oil, 20% extra virgin olive oil), FRESH GARLIC, JALAPENO CHILI, OREGANO, CRACKED BLACK PEPPER, ALLSPICE (ground allspice. ), CUMIN SEEDS, BAY LEAVES",lunch
86,Picante Sauce**,2 TBSP,20,0,0g,0g,0g,0mg,480mg,0g,4g,0g,2g,0%,0%,4%,0%,"MILD PICANTE SAUCE (crushed tomatoes (water, crushed tomato concentrate), water, fresh jalapeno peppers, fresh onions, distilled vinegar, salt, dehydrated onions, dehydrated garlic, natural flavoring)",lunch
87,Pickled Carrots**,1 OZ,21,1,0.1g,0g,0g,0mg,27.3mg,0.2g,5.3g,0.5g,4.4g,1%,1%,49%,5%,"FRESH CARROTS, VINEGAR (apple cider vinegar (diluted with water to 5% acidity). ), SUGAR, WATER, JALAPENO CHILI, CINNAMON, CUMIN SEEDS, KOSHER SALT (salt, yellow prussiate of soda), CLOVES, MUSTARD SEED (mustard), ALLSPICE (ground allspice. )",lunch
88,Pickled Red Onions**,1 OZ,36,0,0.1g,0g,0g,0mg,31.2mg,0.3g,9.1g,0.6g,7.5g,1%,0%,1%,9%,"FRESH RED ONIONS, VINEGAR (apple cider vinegar (diluted with water to 5% acidity). ), SUGAR, WATER, JALAPENO CHILI, CINNAMON, KOSHER SALT (salt, yellow prussiate of soda), CLOVES, MUSTARD SEED (mustard), ALLSPICE (ground allspice. )",lunch
89,Pico de Gallo**,1 OZ,6,1,0.1g,0g,0g,0mg,5.2mg,0.2g,1.3g,0.3g,0.6g,0%,0%,2%,5%,"FRESH TOMATOES, TOMATILLOS, FRESH ONIONS, LIME JUICE (lime juice from concentrate (water, concentrated lime juice),and less than 2% of lime oil, sodium benzoate (preservative), sodium metabisulfite (preservative).  contains: sulfites. ), FRESH GARLIC, JALAPENO PEPPERS (fresh peppers, water, vinegar, salt, calcium chloride, sodium benzoate (preservative), natural flavors, yellow 5, sodium metabisulfite. ), CILANTRO, GARLIC SALT (salt, garlic, calcium silicate (added to make free flowing), and garlic oil.), BLACK PEPPER, SALT (salt, calcium silicate, dextrose, potassium iodide.)",lunch
90,Roasted Green Chili Salsa**,1 OZ,9,0,0g,0g,0g,0mg,302.3mg,0.4g,2.3g,0.5g,0.9g,1%,1%,4%,31%,"GREEN CHILLIES (green chile peppers, water, salt, citric acid, calcium chloride), LIMES, FRESH GARLIC, KOSHER SALT (salt, yellow prussiate of soda)",lunch
91,Salsa Black Bean & Corn**,2 OZ,78,1,0.1g,0g,0g,0mg,373.3mg,4.2g,15g,4.3g,2g,10%,25%,4%,4%,"BLACK BEANS (black beans, water, salt, calcium chloride, ferrous gluconate. ), PICANTE SAUCE (crushed tomatoes (water, crushed tomato concentrate), water, fresh  jalapeno peppers, fresh onions, distilled vinegar, salt, dehydrated  onions, dehydrated garlic, natural flavoring.), CORN (yellow corn.), FRESH GREEN ONIONS, LIME JUICE (lime juice from concentrate (water, concentrated lime juice),and less than 2% of lime oil, sodium benzoate (preservative), sodium metabisulfite (preservative).  contains: sulfites. ), CILANTRO, CUMIN (cumin)",lunch
92,Sauce Con Queso*,2 OZ,8,2,0.2g,0.1g,0g,0.7mg,96.1mg,0.4g,1.2g,0.2g,0.8g,1%,0%,2%,10%,"FRESH TOMATOES, WHOLE MILK (milk, vitamin D3 added), GREEN CHILLIES (green chile peppers, water, salt, citric acid, calcium chloride), JALAPENO PEPPERS (fresh peppers, water, vinegar, salt, calcium chloride, sodium benzoate (preservative), natural flavors, yellow 5, sodium metabisulfite. ), FRESH RED PEPPER, FRESH ONIONS, FRESH GARLIC",lunch
93,Smokey Salsa**,1 OZ,8,0,0g,0g,0g,0mg,104.6mg,0.3g,1.7g,0.5g,0.8g,1%,1%,5%,4%,"DICED TOMATOES (tomatoes, tomato juice, less than 2% of: salt, calcium chloride, citric acid), CHIPOTLE PEPPERS (chipotle peppers, water, vinegar, tomatoes, onions, iodized salt, sugar, paprika, soybean oil, and spices), FRESH ONIONS, LIME JUICE (lime juice from concentrate (water, concentrated lime juice),and less than 2% of lime oil, sodium benzoate (preservative), sodium metabisulfite (preservative).  contains: sulfites. ), CILANTRO, FRESH GARLIC, KOSHER SALT (salt, yellow prussiate of soda), CRACKED BLACK PEPPER, CUMIN (cumin), OREGANO",lunch
94,Sour Cream*,1 OZ,57,43,4.7g,3.3g,0g,18.9mg,18.9mg,0.9g,1.9g,0g,1.9g,4%,0%,4%,0%,"SOUR CREAM (cultured cream, enzyme contains: milk)",lunch
95,Taco Meat,2 OZ,148,96,10.7g,4g,0g,41mg,316.7mg,10.9g,1.8g,0.3g,0.3g,2%,7%,4%,2%,"CHORIZO SAUSAGE (pork, seasoning, (paprika, salt, garlic powder, spice, De arbol chili  pepper, canola oil, cilantro), contains less than 2% of vinegar.), GROUND BEEF, WATER, FRESH ONIONS, FRESH GARLIC, CUMIN (cumin), ONION POWDER (onion powder. ), GARLIC SALT (salt, garlic, calcium silicate (added to make free flowing), and garlic oil.), BLACK PEPPER",lunch
96,Taco Salad Tortilla*,1 TORTILLA,201,93,10.3g,1.3g,0g,0mg,223mg,4g,22g,3g,0g,6%,14%,0%,0%,"FLOUR TORTILLA (cream, skim milk, soybean oil, parmesan and asiago cheese blend with flavor (parmesan cheese [cultured milk, salt, enzymes], asiago cheese [cultured milk, salt, enzymes], enzyme modified parmesan cheese [cultured milk, water, salt, enzymes], whey, salt), canola oil, water, 2% or less of modified cornstarch, salt, romano cheese ([made from cow's milk], pasteurized milk, cheese culture, salt, enzymes), cream (cream, nonfat milk), lactose (contains milk), datem, spice, xanthan gum, seasoning (wheat starch, extracts of annatto and turmeric color, natural flavor), seasoning (maltodextrin, flavor, enzyme modified butterfat). contains: milk, wheat ingredients. ), SHORTENING (soybean oil with tbhq and citric acid added as preservatives and  dimethylpolysiloxane added as an anti-foaming agent)",lunch
97,Taco Shell**,1 SHELL,160,72,8g,3.5g,0g,0mg,0mg,1g,21g,1g,0g,0%,6%,0%,0%,"TACO SHELLS (enriched limed whole grain corn, limed whole grain corn, niacin, iron, thiamin mononitrate, riboflavin, folic acid, palm oil, tbhq (preservative).)",lunch
98,Vegetarian Refried Beans**,4 OZ,106,16,1.8g,0g,0g,0mg,478.4mg,5.3g,16.8g,5.3g,0.9g,2%,9%,0%,0%,"REFRIED BEANS (cooked beans, water, less than 2% of: canola oil, salt, distilled vinegar, chile pepper, onion powder, spices, garlic powder, natural flavor. may contain soy. )",lunch
99,Yellow Rice,4 OZ,392,27,3g,0.6g,0.6g,1.7mg,399.5mg,9g,79g,0.7g,1.1g,1%,18%,43%,2%,"RICE (long grain parboiled rice, iron phosphate, niacin, thiamine mononitrate, folic acid. ), WATER, FRESH CARROTS, PEAS, MARGARINE (liquid soybean oil, partially hydrogenated soybean oil, water, salt, soy  lecithin, vegetable mono and diglycerides, potassium sorbate and citric  acid added as preservatives, artificially flavored (gluten free),  artificially colored with beta carotene, vitamin a palmitate added.), CHICKEN BASE (chicken and chicken stock, salt, hydrolyzed soy, corn and wheat proteins, chicken fat, sugar, maltodextrin, dried whey, 2% or less of natural flavors, disodium inosinate/disodium guanylate, corn oil, autolyzed yeast extract, natural extractives or turmeric and annatto.  *other than that which naturally occurs in the hydrolyzed proteins in autolyzed yeast extract.  contains: milk, soy, wheat ingredients), TURMERIC, SALT (salt, calcium silicate, dextrose, potassium iodide.), GARLIC (Processed on the same manufacturing line as products that contain soy, wheat, gluten, dairy, eggs,  and tree nuts. ), ONION POWDER (onion powder. )",lunch
100,Bacon Bits,1 OZ,122,37,4.1g,0g,0g,0mg,222.8mg,12.2g,8.1g,4.1g,0g,8%,8%,0%,0%,"BACON BITS (soy flour, soybean oil with tbhq added to protect freshness, salt, less than 2% of hydrolyzed soy protein, yeast extract, natural smoke flavor, sunflour oil, sugar, partially hydrogenated soybean oil, dextrose, inactive dried yeast, caramel color, red #3 and/or red #40, hydrolyzed vegetable protein (hydrolyzed soy and corn protein, salt, partially hydrogenated vegetable oil (cottonseed, soybean)), soy lecithin, natural flavor. contains: soy)",lunch
101,Broccoli Buds**,1 OZ,8,1,0.1g,0g,0g,0,0, ,1.5g,0.9g, ,1%,1%,17%,44%,BROCCOLI FLOWERETTES,lunch
102,Cabbage Topping for Fish Taco,1 OZ,8,0,0g,0g,0g,0mg,7.6mg,0.4g,1.9g,0.8g,1g,1%,1%,13%,18%,"FRESH GREEN CABBAGE, CARROTS, FRESH RED CABBAGE, CILANTRO",lunch
103,Croutons*,1/2 OZ,61,18,2g,0g,0g,0mg,192.4mg,2g,10.1g,0g,2g,0%,0%,0%,0%,"CROUTONS (enriched flour (wheat flour, malted barley flour, niacin, reduced iron,  thiamin mononitrate, riboflavin, folic acid), canola and/or sunflower oil, whey, salt, yeast, high fructose corn syrup, 2% or less of: sugar, calcium propionate (preservative), calcium peroxide, calcium sulfate, ascorbic acid, azodicarbonamide, enzymes, sodium stearoyl lactylate, dehydrated parsley, spices, onion powder, extractive or paprika (color), turmeric (color), paprika (color), spice extractive, citric acid, tbhq (to preserve freshness).  contains: wheat, milk )",lunch
104,Edamame**,4 OZ,151,41,4.5g,0g,0g,0mg,45.4mg,12.1g,13.6g,6g,1.5g,8%,14%,14%,14%,EDAMAME PODS,lunch
105,Feta Cheese*,1 OZ,75,54,6g,4.2g,- - - g,25.2mg,316.4mg,4g,1.2g,0g,1.2g,14%,1%,2%,0%,"FETA CHEESE (pasteurized milk, cheese cultures, salt, enzymes)",lunch
106,Grape Tomatoes,1 EACH,1,0,0g,0g,0g,0mg,0.3mg,0g,0.2g,0.1g,0.1g,0%,0%,1%,1%,FRESH GRAPE TOMATOES,lunch
107,Green Pepper Strips*,1 OZ,6,0,0g,0g,0g,0mg,0.9mg,0.2g,1.3g,0.5g,0.7g,0%,1%,2%,38%,FRESH GREEN PEPPER,lunch
108,Lettuce Mix**,1 OZ,5,1,0.1g,0g,0g,0mg,2.3mg,0.3g,0.9g,0.6g,0.3g,1%,2%,49%,2%,"ARCADIAN HERITAGE LETTUCE MIX (green leaf lettuce, red leaf lettuce, tangos lettuce, lolla rosa lettuce, batavia lettuce, oak lettuce)",lunch
109,Monterey Jack & Cheddar Cheese*,1 OZ,111,82,9.1g,5.1g,0g,25.3mg,172.1mg,7.1g,1g,0g,0g,20%,0%,6%,0%,"MONTEREY JACK & CHEDDAR CHEESE (cheddar cheese, (pasteurized milk, cheese culture, salt, enzymes, annatto [color]), monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes), potato starch and powdered cellulose added to prevent caking, natamycin (a natural mold inhibitor). contains: milk )",lunch
110,Oil (for Oil & Vinegar)**,1 TBS,104,123,13.6g,2g,- - - g,0mg,0mg,0g,0g,0g,0g,0%,0%,0%,0%,SOY OIL (soybean oil),lunch
111,Red Kidney Beans**,1 OZ,40,1,0.1g,0g,0g,0mg,85.1mg,2.8g,6.9g,1.9g,0.9g,5%,2%,0%,0%,"KIDNEY BEANS (dark red kidney beans, water, high fructose corn syrup, sugar, salt, calcium chloride, disodium edta  (to preservative color), and natural flavorings.)",lunch
112,Red Onions**,1 OZ,11,0,0g,0g,0g,0mg,1.1mg,0.3g,2.6g,0.5g,1.2g,1%,0%,0%,3%,FRESH RED ONIONS,lunch
113,"Salad Dressing, Bleu Cheese *",2 TBSP,80,77,8.5g,1.8g,0g,7.5mg,135mg,0.5g,0.5g,0g,0.5g,0%,0%,0%,0%,"BLEU CHEESE DRESSING (soybean oil, blue cheese (cultured milk, salt, cheese cultures,  enzymes), vinegar, water, egg yolk, corn syrup, contains less than 2%  of: salt, monosodium glutamate, spices, propylene glycol alginate,  onion, xanthan gum, garlic, dextrose. contains: eggs and milk)",lunch
114,"Salad Dressing, French *",2 TBSP,130,108,12g,2g,0g,0mg,210mg,0g,9g,0g,6g,0%,0%,2%,0%,"HONEY FRENCH DRESSING (soybean oil, sugar, distilled vinegar, cider vinegar, tomato paste, honey, contains less than 2% of: salt  spice, xanthan  gum, onion, garlic, beet powder (color). )",lunch
115,"Salad Dressing, Homestyle Ranch*",2 TBSP,100,99,11g,1.5g,0g,10mg,270mg,1g,1g,0g,1g,2%,0%,0%,0%,"RANCH DRESSING (soybean oil, water, buttermilk, egg yolk, distilled vinegar, contains  less than 2% of salt, monosodium glutamate, modified food starch, buttermilk solids, sugar, garlic, spices , xanthan gum, egg whites, onion, citric acid, sorbic acid, calcium disodium edta to protect flavor, natural flavor )",lunch
116,"Salad Dressing, Italian**",2 TBSP,120,108,12g,2g,0g,0mg,270mg,0g,4g,0g,2g,0%,0%,0%,0%,"ITALIAN DRESSING (soybean oil, vinegar, water, high fructose corn syrup, salt, contains less than 2% of: garlic, xanthan gum, onion, red bell pepper, spices, lemon juice concentrate, dextrose, beta carotene, paprika.)",lunch
117,"Salad Dressing, Strawberry Yogurt*",2 TBSP,29,3,0.3g,0.2g,0g,1.1mg,31.2mg,1.2g,5.4g,0g,5.4g,4%,0%,0%,0%,"STRAWBERRY YOGURT (cultured pasteurized lowfat milk, sugar, strawberries, corn syrup, water, modified corn starch, carrageenan,  pectin, potassium sorbate (to maintain freshness), red 40 and blue 1, natural flavor contains: milk), KOSHER SALT (salt, yellow prussiate of soda), BLACK PEPPER",lunch
118,"Salad Dressing,1000 Island *",2 TBSP,280,235,26g,4g,0g,30mg,520mg,0g,8g,0g,6g,0%,0%,0%,0%,"1000 ISLAND DRESSING (soybean oil, chili sauce (tomatoes, corn syrup, vinegar, salt, spices, natural flavors, garlic powder, citric acid), vinegar, corn syrup, water, pickle relish (cucumbers, high fructose corn syrup, vinegar, sugar, salt, mustard seed, diced red bell peppers, water, xanthan gum), egg yolk, contains less than 2% of: salt, spices, propylene glycol alginate, onion, sodium benzoate and calcium disodium edta as preservatives, xanthan gum, garlic, paprika, red bell pepper.)",lunch
119,Sliced Cucumbers**,1 OZ,4,0,0g,0g,0g,0mg,0.6mg,0.2g,1g,0.1g,0.5g,0%,0%,1%,1%,FRESH CUCUMBERS,lunch
120,Sliced Mushrooms**,1 OZ,6,1,0.1g,0g,0g,0mg,1.4mg,0.9g,0.9g,0.3g,0.6g,0%,1%,0%,1%,FRESH MUSHROOMS,lunch
121,Steamed Eggs*,1 EGG,88,54,6g,1.9g,- - - g,211.5mg,70.3mg,7.1g,0.6g,0g,0.6g,3%,4%,6%,0%,FRESH EGGS,lunch
122,Apple Cobbler**,5 OZ,268,86,9.5g,4.2g,0.5g,0mg,166.3mg,2.4g,43.7g,3.2g,29.9g,2%,5%,8%,1%,"Apple Filling (APPLES (sliced apples and water.), SUGAR (sugar), Clearjel (food starch, modified food starch, modified corn starch), LEMON JUICE (filtered water, lemon juice concentrate, sodium bisulfite (preservative), sodium  benzoate (preservative), lemon oil.), SALT (salt, sodium silicoaluminate. ), NUTMEG, CINNAMON), Crisp Topping (OATMEAL (100% natural rolled oats.), TRANSFAT FREE BAKERY MARGARINE (palm oil, water, salt, mono- and diglycerides, artificial butter flavor,   colored with annatto, calcium disodium EDTA added as a preservative,  vitamin a palmitate added.), BROWN SUGAR (SUGAR, CANE SYRUPS), WHOLE WHEAT FLOUR (whole wheat flour ), ULTRAGRAIN FLOUR BLEND (wheat flour, whole wheat flour, niacin, reduced iron, thiamine  mononitrate, riboflavin, folic acid), CINNAMON), SUGAR, MARGARINE (liquid soybean oil, partially hydrogenated soybean oil, water, salt, soy  lecithin, vegetable mono and diglycerides, potassium sorbate and citric  acid added as preservatives, artificially flavored (gluten free),  artificially colored with beta carotene, vitamin a palmitate added.), CINNAMON",lunch
123,Apple Strudel*,1 PIECE,171,35,3.8g,0.7g,0.4g,2.2mg,156.1mg,1.1g,33.8g,0.9g,19.9g,0%,1%,0%,3%,"Apple Strudel* (APPLE FILLING (water, sugar, apples (treated with sulfites), modified food starch. contains 2% or less of the following: high fructose corn syrup, citric acid, spices, preservatives (potassium sorbate, sodium propionate, sodium benzoate), salt, natural and artificial flavor.  ), APRICOT JAM (sugar, water, apricot puree concentrate.  contains 2% or less of the following: pectin, agar agar, sorbic acid, sodium benzoate (preservative), mono- and diglycerides, citric acid. ), Yellow Sheet Cake (Yellow Cake (sugar, enriched flour bleached (wheat flour, niacin, iron, thiamin  mononitrate, riboflavin, folic acid), partially hydrogenated soybean oil, egg white, egg yolk with sodium silicoaluminate, nonfat milk, leavening (baking soda, sodium aluminum phosphate, monocalcium phosphate), propylene glycol mono and diesters of fatty acids, dextrose, modified tapioca starch, mono and diglycerides, salt, sorbitan monostearate, tetrasodium pyrophosphate, xanthan gum, sodium stearoyl lactylate, polysorbate 60, calcium acetate, maltodextrin, soy lecithin, guar gum, cellulose gum, artificial flavor, yellow 5 and red 40  contains: wheat, egg, milk and soy ingredients ), WATER, CANOLA OIL (canola oil. ), PAN GREASE (soy oil, corn flour, vegetable shortening (partially hydrogenated  soybean, cotttonseed, and or canola oil), mono-diglycerides. contains 2%  or less of: soya lecithin, bht (an antioxidant) )))",lunch
124,Cherry Cobbler**,5 OZ,181,86,9.5g,4.2g,0.5g,0mg,98.5mg,2.2g,22.2g,1.6g,10.9g,2%,5%,8%,0%,"Crisp Topping (OATMEAL (100% natural rolled oats.), TRANSFAT FREE BAKERY MARGARINE (palm oil, water, salt, mono- and diglycerides, artificial butter flavor,   colored with annatto, calcium disodium EDTA added as a preservative,  vitamin a palmitate added.), BROWN SUGAR (SUGAR, CANE SYRUPS), WHOLE WHEAT FLOUR (whole wheat flour ), ULTRAGRAIN FLOUR BLEND (wheat flour, whole wheat flour, niacin, reduced iron, thiamine  mononitrate, riboflavin, folic acid), CINNAMON), SUGAR, MARGARINE (liquid soybean oil, partially hydrogenated soybean oil, water, salt, soy  lecithin, vegetable mono and diglycerides, potassium sorbate and citric  acid added as preservatives, artificially flavored (gluten free),  artificially colored with beta carotene, vitamin a palmitate added.), CINNAMON",lunch
125,Chocolate Cake/Chocolate Icing*,1 PIECE,489,201,22.2g,7g,1.4g,23.1mg,536.6mg,5.3g,69.5g,2g,51.6g,0%,2%,1%,0%,"Chocolate Cake/Chocolate Icing* (Chocolate cake (CHOCOLATE CAKE MIX (sugar, enriched flour bleached (wheat flour, niacin, iron, thiamin  mononitrate, riboflavin, folic acid), partially hydrogenated soybean oil, cocoa processed with alkali, egg white, leavening (baking soda, sodium aluminum phosphate, dicalcium phosphate, monocalcium phosphate),  egg yolk with sodium silicoaluminate, modified tapioca starch, carob powder, propylene glycol mono and diesters of fatty acids, dextrose, mono and diglycerides, sorbitan monostearate, salt, nonfat milk, maltodextrin, natural and artificial flavor, tetrasodium pyrophosphate, xanthan gum, polysorbate 60, calcium acetate, soy lecithin, guar gum, cellulose gum, red 40. contains wheat, egg, milk and soy ingredients.), WATER, CANOLA OIL (canola oil. ), PAN GREASE (soy oil, corn flour, vegetable shortening (partially hydrogenated  soybean, cotttonseed, and or canola oil), mono-diglycerides. contains 2%  or less of: soya lecithin, bht (an antioxidant) )), Chocolate Butter Cream Icing (CONFECTIONERS SUGAR (sugar, cornstarch), SHORTENING (palm oil ), EGG WHITES (egg whites, guar gum and triethyl citrate added as whipping aids.), WATER, COCOA (cocoa, silicon dioxide (free-flow agent). ), FUDGE ICING (cocoa, vegetable shortening (partially hydrogenated soybean  and cottonseed oils), corn syrup solids, lecithin, salt, artificial  flavor and tbhq added to protect flavor.), TRANSFAT FREE BAKERY MARGARINE (palm oil, water, salt, mono- and diglycerides, artificial butter flavor,   colored with annatto, calcium disodium EDTA added as a preservative,  vitamin a palmitate added.), SALT (salt, sodium silicoaluminate. )))",lunch
126,Lime Gelatin,4 OZ,122,0,0g,0g,0g,0mg,148.6mg,2.5g,28.9g,0g,27.4g,0%,0%,0%,0%,"WATER, WATER, LIME GELATIN (sugar, corn sugar, gelatin, adipic acid, sodium phosphate, sodium  citrate, natural and artificial flavors, ascorbic acid, colors (yellow  5, yellow 5 lake, blue 1, blue 1 lake).)",lunch
127,M & M Cookies,1 DOZEN,2710,1037,115g,61.7g,0g,223.5mg,2093.4mg,32.6g,395g,7.5g,136.7g,26%,83%,73%,0%,"M&M MINI CANDY (milk chocolate (sugar, chocolate, cocoa butter, skim milk, milk fat,  lactose, soy lecithin, salt, artificial flavors), sugar, cornstarch,  less than 1%--corn syrup, gum acacia, coloring (red 40 lake, yellow 6,  yellow 5, blue 2 lake, red 40, blue 1 lake, blue 1, yellow 5 lake,  yellow 6 lake), dextrin.), SUGAR (sugar), TRANSFAT FREE BAKERY MARGARINE (palm oil, water, salt, mono- and diglycerides, artificial butter flavor,   colored with annatto, calcium disodium EDTA added as a preservative,  vitamin a palmitate added.), ULTRAGRAIN FLOUR BLEND (wheat flour, whole wheat flour, niacin, reduced iron, thiamine  mononitrate, riboflavin, folic acid), PASTRY FLOUR (enriched flour (wheat flour, niacin, iron, thiamine, mononitrate, riboflavin, folic  acid.), EGG MIX (whole eggs, egg yolks, dextrin, salt, cellulose gum, propylene glycol.), NUMOLINE SYRUP (invert sugar.), BAKING SODA (sodium bicarbonate), CREAM OF TARTAR (potassium, acid, salt, uf tartaric acid ), SALT (salt, sodium silicoaluminate. )",lunch
